onset	duration	stim_file
21.3	1	sub05_Voice1_Loc6_ramp10.wav
32.5	1	sub05_Animal13_Loc2_ramp10.wav
40.9	1	sub05_Speech2_Loc4_ramp10.wav
46.5	1	sub05_Speech6_Loc2_ramp10.wav
57.7	1	sub05_Tool12_Loc5_ramp10.wav
68.9	1	sub05_Animal6_Loc2_ramp10.wav
77.3	1	sub05_Tool1_Loc6_ramp10.wav
85.7	1	sub05_Voice13_Loc2_ramp10.wav
105.3	1	sub05_Tool3_Loc7_ramp10.wav
110.9	1	sub05_Speech9_Loc4_ramp10.wav
119.3	1	sub05_Voice11_Loc1_ramp10.wav
130.5	1	sub05_Animal9_Loc4_ramp10.wav
138.9	1	sub05_Tool11_Loc1_ramp10.wav
150.1	1	sub05_Animal1_Loc6_ramp10.wav
161.3	1	sub05_Voice9_Loc4_ramp10.wav
172.5	1	sub05_Animal3_Loc7_ramp10.wav
183.7	1	sub05_Voice2_Loc4_ramp10.wav
194.9	1	sub05_Voice8_Loc6_ramp10.wav
200.5	1	sub05_Voice14_Loc3_ramp10.wav
214.5	1	sub05_Speech5_Loc5_ramp10.wav
222.9	1	sub05_Tool13_Loc2_ramp10.wav
234.1	1	sub05_Tool8_Loc6_ramp10.wav
245.3	1	sub05_Voice4_Loc1_ramp10.wav
256.5	1	sub05_Voice5_Loc5_ramp10.wav
262.1	1	sub05_Speech3_Loc7_ramp10.wav
267.7	1	sub05_Tool7_Loc3_ramp10.wav
273.3	1	sub05_Speech4_Loc1_ramp10.wav
281.7	1	sub05_Voice12_Loc5_ramp10.wav
287.3	1	sub05_Animal14_Loc3_ramp10.wav
292.9	1	sub05_Animal10_Loc7_ramp10.wav
301.3	1	sub05_Tool4_Loc1_ramp10.wav
309.7	1	sub05_Speech1_Loc6_ramp10.wav
318.1	1	sub05_Tool6_Loc2_ramp10.wav
326.5	1	sub05_Animal5_Loc5_ramp10.wav
334.9	1	sub05_Animal4_Loc1_ramp10.wav
340.5	1	sub05_Speech8_Loc6_ramp10.wav
351.7	1	sub05_Animal2_Loc4_ramp10.wav
374.1	1	sub05_Tool10_Loc7_ramp10.wav
382.5	1	sub05_Voice6_Loc2_ramp10.wav
393.7	1	sub05_Speech12_Loc5_ramp10.wav
399.3	1	sub05_Speech7_Loc3_ramp10.wav
404.9	1	sub05_Animal8_Loc6_ramp10.wav
416.1	1	sub05_Speech14_Loc3_ramp10.wav
424.5	1	sub05_Speech11_Loc1_ramp10.wav
432.9	1	sub05_Tool9_Loc4_ramp10.wav
441.3	1	sub05_Speech13_Loc2_ramp10.wav
449.7	1	sub05_Tool5_Loc5_ramp10.wav
455.3	1	sub05_Tool14_Loc3_ramp10.wav
460.9	1	sub05_Speech10_Loc7_ramp10.wav
466.5	1	sub05_Animal7_Loc3_ramp10.wav
474.9	1	sub05_Animal11_Loc1_ramp10.wav
488.9	1	sub05_Voice10_Loc7_ramp10.wav
500.1	1	sub05_Tool2_Loc4_ramp10.wav
508.5	1	sub05_Voice3_Loc7_ramp10.wav
514.1	1	sub05_Animal12_Loc5_ramp10.wav
522.5	1	sub05_Voice7_Loc3_ramp10.wav
